sr_no,record_id,reason
84,PA-084,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
85,PA-085,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
86,PA-086,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
87,PA-087,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
88,PA-088,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
89,PA-089,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
90,PA-090,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
91,PA-091,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
92,PA-092,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
93,PA-093,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
94,PA-094,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
95,PA-095,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
96,PA-096,"{'message': ""Could not find the 'balance_period_9_12' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
97,PA-097,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
98,PA-098,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
99,PA-099,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
100,PA-100,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
101,PA-101,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
102,PA-102,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
103,PA-103,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
104,PA-104,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
105,PA-105,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
