sr_no,scn_no,sheet,reason
20,10/2024-25,ADD_JD,"{'message': ""Could not find the 'date_of_bo_portal_upload' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
21,10/2025-24,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
22,11/2024-25,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
23,11/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
24,12/2024-25,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
25,12/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
26,13/2024-25,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
27,13/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
28,14/2024-25,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
29,14/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
30,15/2024-25,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
31,15/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
32,16/2024-25,ADD_JD,"{'message': ""Could not find the 'date_of_adjudication' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
33,16/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
34,17/2024-25,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
35,17/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
36,18/2024-25,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
37,18/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
38,19/2024-25,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
39,19/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
40,20/2024-25,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
41,20/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
42,21/2024-25,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
43,21/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
44,22/2024-25,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
45,22/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
46,23/2024-25,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
47,23/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
48,24/2024-25,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
49,24/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
50,25/2024-25,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
51,25/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
52,26/2024-25,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
