sr_no,record_id,legacy_no,reason
95,40/GST/2026-27,95,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
96,41/GST/2026-27,96,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
97,42/GST/2026-27,97,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
98,43/GST/2026-27,98,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
99,44/GST/2026-27,99,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
100,45/GST/2026-27,100,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
101,46/GST/2026-27,101,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
102,47/GST/2026-27,102,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
103,48/GST/2026-27,103,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
104,49/GST/2026-27,104,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
105,50/GST/2026-27,105,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
106,51/GST/2026-27,106,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
107,52/GST/2026-27,107,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
108,53/GST/2026-27,108,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
109,54/GST/2026-27,109,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
110,55/GST/2026-27,110,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
111,56/GST/2026-27,111,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
112,57/GST/2026-27,112,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
113,58/GST/2026-27,113,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
114,59/GST/2026-27,114,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
115,60/GST/2026-27,115,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
116,61/GST/2026-27,116,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
117,62/GST/2026-27,117,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
118,63/GST/2026-27,118,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
119,64/GST/2026-27,119,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
120,65/GST/2026-27,120,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
121,66/GST/2026-27,121,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
122,67/GST/2026-27,122,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
123,68/GST/2026-27,123,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
124,69/GST/2026-27,124,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
125,70/GST/2026-27,125,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
126,71/GST/2026-27,126,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
127,72/GST/2026-27,127,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
128,73/GST/2026-27,128,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
